agent_id,age,tenure_months,commute_minutes,hiring_source,shift_type,queue_type,education,dependents,prior_jobs,compa_ratio,months_since_increment,ijp_rejections,aht_delta_pct,acw_pct_delta_pp,avail_time_delta_pct,adherence_delta_pp,break_overrun_min_30d,late_logins_30d,avg_minutes_late,early_departures_30d,unplanned_absences_30d,fri_mon_absence_ratio,ncns_90d,pto_burn_rate,pto_rejections_180d,shift_swap_requests_30d,short_calls_rate_delta_pp,transfer_rate_delta_pp,occupancy_90d,tl_attrition_rate_6m,team_exits_60d,batch_attrition_rate,attrition_90d
AGT100014,29,37,34,Referral,Split,Chat,Graduate,1,3,1.129,4,1,9.0,0.76,0.0,-2.19,0.0,0,0.0,0,0,0.0,0,0.61,0,3,-0.69,-0.39,90.5,0.096,2,0.574,0
AGT100015,23,56,63,Referral,Rotational,Voice-Support,Postgraduate,0,1,1.047,1,1,-14.0,0.58,-4.1,1.54,5.6,0,0.0,0,0,0.0,0,0.76,0,0,0.43,-0.73,74.1,0.25,1,0.211,0
AGT100016,29,18,21,Job Portal,Night Fixed,Voice-Support,Postgraduate,1,2,0.914,0,0,-16.6,1.86,1.9,0.64,0.0,1,0.0,0,0,0.0,0,0.54,0,2,-0.08,-2.02,88.2,0.021,1,0.19,0
AGT100017,22,14,49,Referral,Rotational,Voice-Support,Graduate,0,2,0.878,6,0,-2.6,1.88,-3.9,-2.4,1.6,0,0.0,0,2,0.14,0,1.14,1,3,-0.79,0.37,81.6,0.035,2,0.509,0
AGT100018,31,11,32,Job Portal,Day Fixed,Escalations,Graduate,0,4,0.893,7,0,-8.0,-0.2,-5.6,1.79,0.0,3,3.7,1,1,0.45,0,0.69,3,0,-1.3,0.12,91.0,0.021,0,0.11,0
AGT100019,27,58,54,Referral,Day Fixed,Escalations,Graduate,0,0,1.122,1,0,-6.0,1.61,4.8,1.26,0.0,1,0.0,0,0,0.0,0,0.0,0,0,1.59,2.0,83.5,0.198,1,0.043,0
AGT100020,26,6,28,Referral,Night Fixed,Voice-Collections,Undergraduate,2,0,1.086,17,0,-14.3,2.56,7.6,-2.82,0.0,0,0.0,0,0,0.0,0,0.24,0,0,-0.99,0.87,80.0,0.155,1,0.267,0
AGT100021,24,24,70,Job Portal,Rotational,Voice-Collections,Postgraduate,0,2,1.005,0,0,10.6,0.99,-6.7,-8.01,4.5,3,5.3,2,1,0.15,1,1.03,0,0,0.93,-0.72,85.6,0.252,1,0.326,0
AGT100022,33,4,44,Referral,Split,Voice-Support,Undergraduate,2,0,0.857,7,2,9.2,-0.57,-1.2,-0.54,0.0,0,0.0,1,0,0.0,0,0.71,1,2,1.15,-0.04,80.6,0.113,1,0.592,0
AGT100023,26,4,20,Referral,Night Fixed,Voice-Collections,Undergraduate,2,2,1.089,36,0,-1.3,-0.76,0.9,-3.7,0.0,1,0.3,0,0,0.0,0,1.02,0,0,1.94,0.38,92.8,0.325,4,0.384,0
AGT100024,25,20,45,Walk-in,Day Fixed,Escalations,Undergraduate,2,1,1.019,3,1,8.2,1.26,-1.8,4.12,0.0,1,4.4,0,0,0.0,0,0.1,0,3,1.67,-0.98,86.3,0.189,0,0.65,0
AGT100025,25,23,22,Job Portal,Day Fixed,Email,Postgraduate,2,4,0.923,5,0,18.8,0.08,-1.1,3.03,14.0,1,2.8,1,2,0.38,0,1.16,1,2,2.46,1.44,78.0,0.173,1,0.208,0
AGT100026,30,2,84,Job Portal,Split,Chat,Graduate,2,1,0.995,4,0,2.7,0.63,-0.2,-5.03,6.6,3,9.6,1,3,0.47,0,1.75,2,3,3.37,0.44,80.3,0.233,0,0.124,0
AGT100027,29,17,53,Job Portal,Day Fixed,Voice-Support,Undergraduate,1,2,1.051,1,2,0.7,0.48,1.6,-4.19,0.0,0,0.0,0,0,0.0,0,0.66,0,0,1.78,-0.69,83.5,0.149,0,0.141,0
AGT100028,29,16,22,Referral,Split,Email,Graduate,1,1,0.955,5,0,-11.5,-1.21,-3.6,1.76,0.0,0,0.0,0,2,0.0,0,0.01,0,3,0.94,-2.26,83.3,0.049,2,0.233,0
AGT100029,29,3,34,Job Portal,Day Fixed,Escalations,Undergraduate,0,3,0.896,8,0,-6.9,0.0,-1.0,-0.13,2.1,0,0.0,0,0,0.0,0,0.0,1,0,1.34,-1.24,85.5,0.131,1,0.055,0
AGT100030,38,41,29,Job Portal,Day Fixed,Escalations,Undergraduate,4,0,1.019,8,0,13.4,3.4,-5.5,-1.23,20.2,2,10.1,3,2,0.95,0,1.57,1,2,1.88,-0.73,75.6,0.254,5,0.566,0
AGT100031,25,11,37,Referral,Day Fixed,Chat,Postgraduate,2,1,1.025,4,1,4.1,-1.58,-3.1,-0.49,7.5,1,6.5,0,1,0.4,0,1.44,1,0,-0.67,-0.76,95.4,0.417,2,0.334,0
AGT100032,24,7,51,Referral,Night Fixed,Voice-Support,Graduate,2,1,0.811,13,2,4.5,2.3,-7.0,-4.24,9.1,2,13.0,3,1,0.38,0,0.88,1,4,-0.0,-0.61,81.1,0.386,2,0.198,0
AGT100033,23,7,49,Job Portal,Night Fixed,Escalations,Graduate,1,2,0.993,7,0,0.4,1.09,-0.6,1.52,2.3,1,7.1,0,3,0.41,1,0.97,1,1,-1.28,-0.68,79.2,0.083,4,0.075,0
AGT100034,30,7,57,Referral,Split,Voice-Collections,Graduate,1,3,0.916,10,1,10.7,4.01,-11.7,-8.75,10.1,1,5.0,2,0,0.0,1,0.97,0,5,1.86,1.58,77.8,0.181,3,0.253,0
AGT100035,33,1,46,Referral,Night Fixed,Voice-Support,Graduate,0,2,1.048,28,0,4.3,0.17,-4.4,1.81,12.0,1,0.0,0,0,0.0,0,0.95,1,0,1.19,1.32,78.0,0.133,2,0.118,0
AGT100036,26,22,47,Job Portal,Day Fixed,Voice-Support,Graduate,0,3,0.83,20,0,0.8,0.71,7.8,-4.94,6.2,3,1.8,3,1,0.47,0,1.09,1,0,1.2,2.14,88.7,0.217,3,0.192,0
AGT100037,23,47,46,Job Portal,Rotational,Chat,Undergraduate,0,1,0.873,22,2,9.4,3.81,-9.8,-8.31,16.1,1,15.9,4,2,0.56,2,1.43,2,5,0.91,0.4,81.3,0.256,3,0.332,0
AGT100038,23,34,35,Job Portal,Night Fixed,Email,Graduate,2,1,0.766,20,0,10.3,2.1,-14.2,-5.39,13.0,7,15.2,2,4,0.67,2,1.81,0,1,1.75,1.62,75.3,0.262,1,0.275,0
AGT100039,30,7,33,Referral,Rotational,Escalations,Graduate,1,0,1.041,13,0,-8.8,2.0,9.0,-0.97,0.6,1,0.0,0,0,0.0,0,0.03,0,0,-1.61,0.18,81.1,0.14,1,0.414,0
AGT100040,31,20,28,Job Portal,Rotational,Escalations,Graduate,0,3,0.85,2,0,3.3,2.49,-3.8,-3.5,7.8,3,6.2,2,4,0.56,1,1.15,1,2,1.78,1.58,85.8,0.259,1,0.262,0
AGT100041,30,7,59,Job Portal,Split,Chat,Undergraduate,0,2,0.867,9,1,5.3,0.25,-5.8,-4.04,8.3,2,2.2,1,3,0.31,0,0.92,0,0,0.08,-1.03,88.5,0.12,0,0.211,0
AGT100042,24,3,12,Job Portal,Rotational,Escalations,Postgraduate,3,2,0.991,10,0,4.3,0.75,0.9,-2.84,3.3,0,0.0,4,3,0.28,0,0.68,1,1,0.52,0.74,76.1,0.015,3,0.407,0
AGT100043,28,7,47,Job Portal,Night Fixed,Voice-Support,Postgraduate,2,4,0.984,11,0,9.3,0.04,0.4,-2.3,0.0,1,2.9,1,2,0.39,0,0.97,1,2,-0.33,-0.17,69.6,0.144,1,0.252,0
AGT100044,28,7,64,Job Portal,Night Fixed,Voice-Support,Undergraduate,2,0,1.064,4,1,-5.6,-0.82,-1.9,5.06,0.0,0,0.0,0,0,0.0,0,1.13,3,1,-0.78,-1.46,77.1,0.121,1,0.194,0
AGT100045,28,3,73,Referral,Night Fixed,Voice-Support,Undergraduate,0,1,1.074,11,0,11.3,0.35,-5.3,0.27,0.0,2,0.7,1,1,0.44,0,0.66,2,4,2.65,1.14,95.7,0.278,1,0.38,0
AGT100046,31,8,10,Job Portal,Night Fixed,Email,Graduate,1,4,1.113,2,0,-6.2,-1.23,-3.9,-1.17,0.0,0,0.0,0,0,0.0,0,0.0,0,0,-1.9,-0.85,70.2,0.066,1,0.243,0
AGT100047,28,10,35,Job Portal,Day Fixed,Escalations,Graduate,1,2,1.161,3,0,-6.9,-0.29,2.5,0.28,0.9,0,0.0,0,0,0.0,0,0.0,2,0,-0.25,-0.34,77.2,0.075,2,0.342,0
AGT100048,30,5,29,Walk-in,Day Fixed,Email,Graduate,0,1,1.104,1,0,-11.8,-0.66,0.2,-0.4,0.0,0,0.0,0,0,0.0,0,0.45,1,1,1.32,0.27,85.2,0.09,0,0.259,0
AGT100049,27,1,34,Job Portal,Split,Escalations,Postgraduate,0,5,1.033,14,0,-3.8,3.77,-6.2,-6.57,16.8,10,13.5,4,7,0.71,3,2.21,1,9,2.55,1.97,98.0,0.181,1,0.345,0
AGT100050,28,4,80,Job Portal,Split,Voice-Collections,Postgraduate,1,2,1.022,9,0,0.7,-2.35,5.7,5.19,0.0,0,0.0,0,0,0.0,0,0.8,1,0,-1.99,1.25,81.2,0.066,0,0.464,0
AGT100051,30,33,29,Walk-in,Day Fixed,Email,Undergraduate,2,2,1.062,2,0,-0.6,1.99,-1.8,-4.71,3.4,2,4.7,0,0,0.0,0,0.77,1,1,-0.83,-1.11,85.9,0.133,2,0.356,0
AGT100052,20,13,64,Referral,Split,Voice-Support,Undergraduate,1,2,0.798,4,2,19.0,5.95,-4.8,-16.64,20.5,6,14.8,7,7,0.76,3,1.89,2,5,2.67,2.12,91.6,0.238,2,0.576,0
AGT100053,25,6,47,Job Portal,Rotational,Email,Undergraduate,0,0,0.985,1,1,9.8,3.19,-8.6,-5.83,14.6,8,16.3,4,4,0.7,1,2.08,3,6,3.42,1.82,78.0,0.537,3,0.322,0
AGT100054,25,5,33,Job Portal,Day Fixed,Email,Postgraduate,1,2,0.817,36,1,12.1,4.33,-7.4,-6.46,17.4,4,10.3,5,9,0.94,1,1.56,4,6,1.49,1.15,94.0,0.304,5,0.296,0
AGT100055,24,16,31,Walk-in,Split,Voice-Collections,Graduate,1,1,0.927,5,1,-1.2,2.37,-1.1,3.21,5.2,0,0.0,0,0,0.0,0,0.49,1,0,-0.82,0.93,78.5,0.083,0,0.364,0
AGT100056,26,3,50,Referral,Split,Voice-Support,Postgraduate,2,0,0.852,2,0,8.8,-0.33,2.2,-2.19,0.0,2,13.0,0,0,0.0,0,0.9,0,0,2.12,0.22,88.3,0.2,2,0.412,0
AGT100057,34,4,42,Job Portal,Rotational,Voice-Support,Graduate,3,0,1.039,6,0,1.5,1.89,9.0,1.33,0.0,0,0.0,0,0,0.0,0,1.23,0,1,0.57,0.61,98.0,0.069,0,0.235,0
AGT100058,23,28,16,Job Portal,Rotational,Email,Graduate,0,1,1.06,1,0,7.1,-0.92,7.7,1.66,0.0,0,0.0,0,0,0.0,0,0.35,0,1,-2.1,-0.39,80.0,0.28,2,0.096,0
AGT100059,32,9,26,Walk-in,Night Fixed,Chat,Undergraduate,1,1,1.122,36,0,1.6,0.99,4.5,2.98,8.5,0,0.0,0,0,0.0,0,0.88,0,2,-0.51,-0.75,83.4,0.15,3,0.269,0
AGT100060,19,3,50,Walk-in,Rotational,Voice-Collections,Undergraduate,1,1,0.903,2,3,-1.6,1.77,1.1,0.28,3.0,1,11.3,1,4,0.56,0,1.67,1,1,-0.8,0.74,81.4,0.247,1,0.379,0
AGT100061,25,1,22,Job Portal,Rotational,Escalations,Postgraduate,2,3,0.934,7,0,22.4,5.06,-10.4,-4.92,18.9,2,7.4,3,4,0.42,2,1.86,4,2,-1.16,3.55,83.3,0.295,3,0.471,0
AGT100062,28,54,69,Referral,Rotational,Voice-Support,Graduate,3,0,1.108,5,2,5.5,0.43,-2.6,5.77,0.0,0,0.0,0,1,0.25,0,0.0,0,1,-0.29,0.21,81.2,0.169,1,0.29,0
AGT100063,30,1,18,Job Portal,Night Fixed,Voice-Support,Postgraduate,1,2,0.949,6,0,9.0,2.37,-10.5,-3.17,11.5,4,17.6,2,3,0.77,1,1.76,0,2,2.8,1.75,88.3,0.178,2,0.323,0
AGT100064,31,12,38,Walk-in,Rotational,Email,Graduate,2,2,0.928,2,0,1.1,1.92,-5.1,-1.84,6.1,1,2.8,0,0,0.0,0,0.66,1,0,-1.65,0.63,84.7,0.119,0,0.375,0
AGT100065,31,16,60,Job Portal,Rotational,Voice-Support,Graduate,0,1,1.071,9,0,0.4,1.22,0.6,3.1,0.0,0,0.0,0,0,0.0,0,0.0,0,3,-1.29,-1.05,86.0,0.012,1,0.484,0
AGT100066,25,12,24,Walk-in,Rotational,Voice-Collections,Graduate,3,0,1.052,11,0,-9.6,-2.72,-2.2,1.57,0.0,0,0.0,0,0,0.0,0,0.0,0,1,1.31,1.03,83.5,0.116,0,0.334,0
AGT100067,25,8,21,Job Portal,Day Fixed,Chat,Undergraduate,2,0,1.096,1,1,-2.6,2.46,4.4,4.11,0.0,0,0.0,0,0,0.0,0,0.0,0,1,1.7,-0.8,83.5,0.071,1,0.162,0
AGT100068,31,29,54,Job Portal,Night Fixed,Voice-Collections,Graduate,0,1,1.048,11,0,-2.3,-1.27,0.6,-0.03,0.0,2,3.6,0,0,0.0,0,0.82,1,2,-0.83,0.02,84.6,0.188,0,0.35,0
AGT100069,26,33,65,Referral,Day Fixed,Voice-Support,Postgraduate,2,1,0.961,12,1,20.6,6.11,-10.2,-6.96,23.1,6,18.6,5,6,0.79,2,1.56,2,5,2.58,2.34,84.3,0.386,3,0.544,1
AGT100070,21,8,39,Job Portal,Rotational,Voice-Support,Graduate,1,1,1.137,21,2,4.9,2.38,-0.9,-2.01,15.9,4,8.6,6,2,0.48,0,1.38,2,0,2.12,0.92,82.0,0.306,4,0.321,0
AGT100071,21,11,35,Job Portal,Day Fixed,Email,Graduate,4,1,1.088,12,0,-0.4,-4.74,-1.7,4.18,0.0,0,0.0,0,0,0.0,0,0.46,0,1,-0.49,1.89,88.4,0.105,3,0.345,0
AGT100072,22,11,18,Job Portal,Split,Voice-Collections,Graduate,0,2,0.998,2,0,15.3,4.23,-7.1,-5.01,13.4,2,4.4,1,1,0.58,0,1.28,2,2,1.54,-0.96,83.0,0.063,1,0.7,0
AGT100073,29,17,45,Referral,Rotational,Email,Graduate,1,0,1.089,1,0,-1.6,1.61,3.2,4.57,3.9,0,0.0,0,0,0.0,0,0.8,0,2,0.49,0.94,87.3,0.183,3,0.287,0
AGT100074,28,3,14,Job Portal,Night Fixed,Chat,Graduate,1,0,0.999,2,1,1.5,-0.56,7.4,-4.01,0.0,0,0.0,0,0,0.0,0,0.62,1,1,-0.48,0.03,86.3,0.043,1,0.193,0
AGT100075,30,1,81,Referral,Rotational,Voice-Support,Graduate,0,5,0.907,3,3,15.9,7.93,-14.8,-11.04,15.2,6,22.1,2,6,0.65,1,1.87,4,3,2.19,2.05,93.7,0.236,3,0.282,0
AGT100076,25,8,40,Job Portal,Day Fixed,Voice-Support,Graduate,2,2,1.011,17,0,-1.6,-0.25,-2.4,0.0,0.0,1,7.2,0,0,0.0,0,1.13,0,0,1.24,1.44,76.9,0.207,2,0.509,0
AGT100077,28,2,26,Job Portal,Day Fixed,Voice-Collections,Graduate,2,2,1.193,4,2,-2.2,-0.26,3.1,5.29,0.0,0,0.0,0,0,0.0,0,0.71,0,0,-0.52,-0.57,84.4,0.218,0,0.202,0
AGT100078,30,10,31,Job Portal,Day Fixed,Chat,Postgraduate,1,1,1.104,14,3,2.7,0.73,-1.3,-1.78,7.3,6,5.2,3,2,0.47,0,0.97,3,1,-0.13,1.09,86.4,0.308,4,0.138,0
AGT100079,25,24,47,Referral,Rotational,Voice-Collections,Postgraduate,3,0,1.042,6,0,-7.9,1.04,-5.9,-7.18,1.8,3,6.9,0,0,0.0,0,0.77,2,0,0.11,0.76,88.8,0.6,0,0.356,0
AGT100080,29,9,34,Job Portal,Rotational,Chat,Graduate,3,1,0.91,9,0,0.6,1.49,-3.6,-0.25,0.0,1,2.9,0,3,0.38,1,0.83,0,0,0.44,0.17,81.5,0.186,1,0.436,0
AGT100081,24,12,43,Job Portal,Day Fixed,Email,Graduate,2,0,0.882,4,1,-0.4,1.65,-0.5,-4.26,7.4,4,10.7,2,0,0.0,0,1.96,1,4,-0.03,1.97,91.2,0.445,2,0.035,0
AGT100082,25,14,24,Job Portal,Rotational,Voice-Support,Postgraduate,0,0,0.976,36,3,14.3,4.03,-6.7,-6.49,17.2,7,13.7,5,3,0.78,1,1.69,1,7,0.12,2.59,72.1,0.133,2,0.353,1
AGT100083,25,20,73,Walk-in,Day Fixed,Email,Undergraduate,3,0,0.939,29,0,20.7,6.44,-11.4,-6.65,19.9,9,13.1,4,6,0.65,0,2.09,1,4,3.77,1.45,84.8,0.473,3,0.321,1
AGT100084,21,13,31,Referral,Night Fixed,Voice-Collections,Undergraduate,0,2,1.002,12,0,10.7,-0.95,1.9,1.34,6.8,1,6.5,1,0,0.0,0,0.45,0,1,-1.56,-0.48,93.8,0.218,1,0.284,0
AGT100085,29,8,12,Referral,Rotational,Chat,Graduate,1,2,1.015,2,1,-5.6,0.94,-11.2,0.91,1.8,0,0.0,0,0,0.0,0,0.48,0,0,-2.66,0.93,84.0,0.31,1,0.108,0
AGT100086,25,8,35,Referral,Rotational,Voice-Support,Graduate,4,2,0.858,1,0,-1.6,0.41,0.1,3.79,0.0,0,0.0,0,0,0.0,0,1.02,0,1,0.05,-0.53,81.5,0.258,1,0.194,0
AGT100087,27,3,29,Job Portal,Split,Voice-Support,Undergraduate,0,1,0.916,0,0,-1.5,-2.83,0.2,0.29,4.8,0,0.0,1,0,0.0,0,0.42,0,2,0.37,2.26,90.3,0.206,1,0.285,0
AGT100088,29,8,71,Referral,Rotational,Chat,Graduate,0,4,0.965,6,0,-3.8,1.25,-7.3,-1.09,2.0,2,11.6,0,2,0.0,0,0.74,0,2,0.29,-0.69,83.2,0.064,2,0.206,0
AGT100089,29,21,26,Walk-in,Night Fixed,Voice-Support,Graduate,3,1,1.044,18,0,-2.3,-1.39,3.2,0.1,0.0,2,0.0,0,0,0.0,0,0.0,2,1,-0.98,-0.55,74.9,0.118,2,0.35,0
AGT100090,30,7,34,Job Portal,Day Fixed,Email,Graduate,0,0,1.047,2,0,-11.4,0.75,-1.2,-1.55,1.5,0,0.0,2,1,0.43,0,0.56,0,2,0.05,0.4,87.9,0.31,3,0.472,0
AGT100091,27,7,47,Job Portal,Day Fixed,Chat,Undergraduate,0,2,0.897,17,0,6.5,1.3,-3.6,-2.5,6.5,3,3.8,1,1,0.56,0,1.11,1,3,0.53,1.66,79.1,0.139,2,0.365,0
AGT100092,25,12,58,Job Portal,Split,Chat,Undergraduate,0,0,0.878,9,0,6.8,5.64,-7.9,-6.26,18.8,7,10.9,2,6,0.46,1,1.82,1,0,2.65,2.57,88.2,0.467,2,0.233,0
AGT100093,27,3,83,Job Portal,Rotational,Voice-Support,Graduate,2,1,0.905,1,3,-4.3,0.57,-11.6,0.03,4.2,3,2.5,0,1,0.17,0,0.3,1,0,-1.23,-0.69,89.4,0.016,0,0.492,0
AGT100094,19,1,27,Job Portal,Night Fixed,Escalations,Undergraduate,1,1,1.08,19,0,-12.4,0.64,2.9,1.68,0.0,0,0.0,0,0,0.0,0,0.8,0,2,0.05,-0.82,91.9,0.271,0,0.111,0
AGT100095,20,19,79,Job Portal,Day Fixed,Escalations,Undergraduate,0,2,0.953,0,1,-9.4,-0.98,4.9,-0.18,0.0,0,0.0,0,0,0.0,0,0.35,1,0,-0.4,-0.05,87.3,0.127,0,0.389,0
AGT100096,20,5,70,Job Portal,Day Fixed,Voice-Support,Postgraduate,3,0,1.011,4,0,1.1,-0.59,4.0,2.44,0.0,0,0.0,0,0,0.0,1,0.57,0,1,0.5,0.34,88.5,0.058,0,0.266,0
AGT100097,22,4,29,Referral,Rotational,Voice-Collections,Graduate,2,1,1.042,3,0,-1.2,1.84,-2.7,-0.7,0.0,1,0.0,0,0,0.0,0,0.64,0,0,-1.2,-0.98,83.2,0.171,0,0.147,0
AGT100098,29,30,27,Walk-in,Night Fixed,Escalations,Graduate,1,0,1.123,3,0,-4.7,-1.01,1.2,0.58,6.5,0,0.0,0,1,0.66,0,0.79,0,1,0.26,0.73,90.9,0.226,3,0.08,0
AGT100099,22,35,53,Job Portal,Split,Voice-Support,Graduate,0,2,0.878,6,0,7.0,1.49,0.7,-3.71,14.7,4,9.4,0,3,0.84,1,1.45,2,4,3.36,-0.26,90.4,0.127,1,0.441,0
AGT100100,25,10,42,Job Portal,Night Fixed,Voice-Support,Graduate,3,4,1.121,6,0,-1.5,1.19,-5.7,0.19,6.1,4,13.0,2,1,0.38,0,1.61,0,3,2.69,-0.5,90.0,0.38,3,0.257,0
AGT100101,33,14,53,Referral,Rotational,Escalations,Graduate,0,3,1.058,12,2,-3.0,5.95,-5.5,-8.24,20.3,6,6.4,5,6,0.44,1,1.22,2,4,1.13,0.7,89.0,0.18,1,0.524,0
AGT100102,25,49,36,Referral,Day Fixed,Voice-Collections,Graduate,3,0,1.167,12,1,2.1,-1.03,-0.7,0.6,0.0,0,0.0,0,0,0.0,0,0.65,0,2,0.08,1.23,79.4,0.178,2,0.042,0
AGT100103,31,7,45,Referral,Day Fixed,Escalations,Graduate,0,2,1.141,15,0,11.0,5.39,-5.0,-0.03,0.8,1,11.0,2,3,0.84,1,1.66,0,6,1.23,0.53,91.9,0.328,0,0.403,0
AGT100104,22,28,40,Job Portal,Day Fixed,Voice-Support,Undergraduate,2,1,1.011,28,0,-3.4,2.47,8.2,1.81,0.1,0,0.0,0,0,0.0,0,0.98,0,0,1.82,0.5,88.4,0.119,1,0.036,0
AGT100105,26,19,52,Referral,Day Fixed,Voice-Collections,Graduate,3,2,0.925,6,0,5.8,2.08,-0.9,2.79,3.2,2,2.2,0,0,0.0,0,1.34,2,1,-1.47,-0.15,67.7,0.363,3,0.062,0
AGT100106,22,43,26,Walk-in,Split,Voice-Collections,Graduate,0,1,1.066,1,0,-10.4,-0.7,0.9,-3.58,0.0,0,0.0,0,0,0.0,0,0.61,1,1,1.06,0.89,92.5,0.036,1,0.3,0
AGT100107,25,4,46,Walk-in,Rotational,Voice-Collections,Graduate,0,2,0.888,6,0,12.2,2.32,-3.1,-5.16,14.0,3,11.0,1,3,0.55,0,1.57,3,2,2.32,1.47,83.2,0.307,1,0.247,0
AGT100108,31,24,83,Referral,Night Fixed,Escalations,Graduate,0,0,1.022,4,1,6.3,3.35,5.0,-9.58,8.0,4,15.6,3,5,0.89,0,2.05,3,2,2.84,0.69,85.5,0.39,4,0.417,0
AGT100109,19,2,80,Job Portal,Night Fixed,Chat,Graduate,0,1,0.926,8,0,18.8,9.42,-19.4,-15.31,20.2,11,26.9,5,5,1.0,0,2.5,6,3,4.78,2.75,82.5,0.415,5,0.425,1
AGT100110,29,23,49,Referral,Night Fixed,Escalations,Graduate,1,1,0.976,9,0,-8.5,0.19,-3.5,0.49,1.8,1,0.0,0,1,0.35,0,1.05,0,1,-0.02,-1.89,88.7,0.09,3,0.151,0
AGT100111,28,6,26,Job Portal,Rotational,Voice-Support,Graduate,0,1,0.782,4,0,9.8,1.6,-3.6,-2.06,6.4,2,14.9,0,4,0.17,0,1.64,0,3,-0.17,0.08,86.2,0.236,1,0.309,0
AGT100112,24,1,102,Referral,Day Fixed,Escalations,Graduate,0,1,0.992,7,1,10.3,1.0,-6.0,-3.31,15.1,2,12.5,2,4,0.54,0,0.89,0,1,1.62,-1.46,83.1,0.228,1,0.25,0
AGT100113,20,25,52,Job Portal,Night Fixed,Chat,Graduate,1,2,1.012,4,0,-4.6,1.12,3.0,0.57,2.2,0,0.0,0,0,0.0,0,0.12,1,1,-2.93,0.45,73.3,0.104,1,0.177,0
